id_produto;nome;numero_produto;preco;id_subcategoria;cor;tamanho;peso;descricao;quantidade;modelo
1;Adjustable Race;AR-5381;0;38;;;;;750;
2;Bearing Ball;BA-8327;0;38;;;;;750;
3;BB Ball Bearing;BE-2349;0;38;;;;;600;
4;Headset Ball Bearings;BE-2908;0;38;;;;This bike delivers a high-level of performance on a budget. It is responsive and maneuverable. and offers peace-of-mind when you decide to go off-road.;600;
316;Blade;BL-2036;0;38;;;;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;600;
317;LL Crankarm;CA-5965;0;38;Black;;;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;375;
318;ML Crankarm;CA-6738;0;38;Black;;;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame. super-smooth front suspension. and traction for all terrain.;375;
319;HL Crankarm;CA-7457;0;38;Black;;;Suitable for any type of off-road trip. Fits any budget.;375;
320;Chainring Bolts;CB-2903;0;38;Silver;;;Entry level adult bike. offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.;750;
321;Chainring Nut;CN-6137;0;38;Silver;;;Value-priced bike with many features of our top-of-the-line models. Has the same light. stiff frame. and the quick acceleration we're famous for.;750;
322;Chainring;CR-7833;0;38;Black;;;Same technology as all of our Road series bikes. but the frame is sized for a woman.  Perfect all-around bike for road or racing.;750;
323;Crown Race;CR-9981;0;38;;;;Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.;750;
324;Chain Stays;CS-2812;0;38;;;;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros. and the gearing will conquer hilly roads.;750;
325;Decal 1;DC-8732;0;38;;;;Cross-train. race. or just socialize on a sleek. aerodynamic bike.  Advanced seat technology provides comfort all day.;750;
326;Decal 2;DC-9824;0;38;;;;Cross-train. race. or just socialize on a sleek. aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.;750;
327;Down Tube;DT-2377;0;38;;;;Alluminum-alloy frame provides a light. stiff ride. whether you are racing in the velodrome or on a demanding club ride on country roads.;600;
328;Mountain End Caps;EC-M092;0;38;;;;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team. it has a extremely light heat-treated aluminum frame. and steering that allows precision control.;750;
329;Road End Caps;EC-R098;0;38;;;;All-occasion value bike with our basic comfort and safety features. Offers wider. more stable tires for a ride around town or weekend trip.;750;
330;Touring End Caps;EC-T209;0;38;;;;The plush custom saddle keeps you riding all day.  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.;750;
331;Fork End;FE-3760;0;38;;;;Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.;600;
332;Freewheel;FH-2981;0;38;Silver;;;Superior shifting performance.;375;
341;Flat Washer 1;FW-1000;0;38;;;;Super rigid spindle.;750;
342;Flat Washer 6;FW-1200;0;38;;;;High-strength crank arm.;750;
343;Flat Washer 2;FW-1400;0;38;;;;Triple crankset. alumunim crank arm. flawless shifting.;750;
344;Flat Washer 9;FW-3400;0;38;;;;All-weather brake pads. provides superior stopping by applying more surface to the rim.;750;
345;Flat Washer 4;FW-3800;0;38;;;;Wide-link design.;750;
346;Flat Washer 3;FW-5160;0;38;;;;Stout design absorbs shock and offers more precise steering.;750;
347;Flat Washer 8;FW-5800;0;38;;;;Composite road fork with an aluminum steerer tube.;750;
348;Flat Washer 5;FW-7160;0;38;;;;High-performance carbon road fork with curved legs.;750;
349;Flat Washer 7;FW-9160;0;38;;;;Our best value utilizing the same. ground-breaking frame technology as the ML aluminum frame.;750;
350;Fork Crown;FC-3654;0;38;;;;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;600;
351;Front Derailleur Cage;FC-3982;0;38;Silver;;;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;600;
352;Front Derailleur Linkage;FL-2301;0;38;Silver;;;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;600;
355;Guide Pulley;GP-0982;0;38;;;;Made from the same aluminum alloy as our top-of-the line HL frame. the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;600;
356;LL Grip Tape;GT-0820;0;38;;;;Replacement mountain wheel for entry-level rider.;600;
357;ML Grip Tape;GT-1209;0;38;;;;Replacement mountain wheel for the casual to serious rider.;600;
358;HL Grip Tape;GT-2908;0;38;;;;High-performance mountain replacement wheel.;600;
359;Thin-Jam Hex Nut 9;HJ-1213;0;38;;;;Replacement road front wheel for entry-level cyclist.;750;
360;Thin-Jam Hex Nut 10;HJ-1220;0;38;;;;Sturdy alloy features a quick-release hub.;750;
361;Thin-Jam Hex Nut 1;HJ-1420;0;38;;;;Strong wheel with double-walled rim.;750;
362;Thin-Jam Hex Nut 2;HJ-1428;0;38;;;;Aerodynamic rims for smooth riding.;750;
363;Thin-Jam Hex Nut 15;HJ-3410;0;38;;;;All-purpose bar for on or off-road.;750;
364;Thin-Jam Hex Nut 16;HJ-3416;0;38;;;;Tough aluminum alloy bars for downhill.;750;
365;Thin-Jam Hex Nut 5;HJ-3816;0;38;;;;Flat bar strong enough for the pro circuit.;750;
366;Thin-Jam Hex Nut 6;HJ-3824;0;38;;;;Unique shape provides easier reach to the levers.;750;
367;Thin-Jam Hex Nut 3;HJ-5161;0;38;;;;Anatomically shaped aluminum tube bar will suit all riders.;750;
368;Thin-Jam Hex Nut 4;HJ-5162;0;38;;;;Designed for racers. high-end anatomically shaped bar from aluminum alloy.;750;
369;Thin-Jam Hex Nut 13;HJ-5811;0;38;;;;Unique shape reduces fatigue for entry level riders.;750;
370;Thin-Jam Hex Nut 14;HJ-5818;0;38;;;;A light yet stiff aluminum bar for long distance riding.;750;
371;Thin-Jam Hex Nut 7;HJ-7161;0;38;;;;Threadless headset provides quality at an economical price.;750;
372;Thin-Jam Hex Nut 8;HJ-7162;0;38;;;;Sealed cartridge keeps dirt out.;750;
373;Thin-Jam Hex Nut 12;HJ-9080;0;38;;;;High-quality 1 threadless headset with a grease port for quick lubrication.;750;
374;Thin-Jam Hex Nut 11;HJ-9161;0;38;;;;Expanded platform so you can ride in any shoes. great for all-around riding.;750;
375;Hex Nut 5;HN-1024;0;38;;;;Lightweight. durable. clipless pedal with adjustable tension.;750;
376;Hex Nut 6;HN-1032;0;38;;;;Stainless steel. designed to shed mud easily.;750;
377;Hex Nut 16;HN-1213;0;38;;;;Clipless pedals - aluminum.;750;
378;Hex Nut 17;HN-1220;0;38;;;;Lightweight aluminum alloy construction.;750;
379;Hex Nut 7;HN-1224;0;38;;;;Top-of-the-line clipless pedals with adjustable tension.;750;
380;Hex Nut 8;HN-1420;0;38;;;;A stable pedal for all-day riding.;750;
381;Hex Nut 9;HN-1428;0;38;;;;Refillable shoes. polished aluminum calipers.;750;
382;Hex Nut 22;HN-3410;0;38;;;;10-speed aluminum derailleur with sealed pulley bearings.;750;
383;Hex Nut 23;HN-3416;0;38;;;;Replacement rear mountain wheel for entry-level rider.;750;
384;Hex Nut 12;HN-3816;0;38;;;;Replacement rear mountain wheel for the casual to serious rider.;750;
385;Hex Nut 13;HN-3824;0;38;;;;Extra-strong rims guarantee durability.;750;
386;Hex Nut 1;HN-4402;0;38;;;;Replacement rear wheel for entry-level cyclist.;750;
387;Hex Nut 10;HN-5161;0;38;;;;Aluminum alloy rim with stainless steel spokes. built for speed.;750;
388;Hex Nut 11;HN-5162;0;38;;;;Strong rear wheel with double-walled rim.;750;
389;Hex Nut 2;HN-5400;0;38;;;;Excellent aerodynamic rims guarantee a smooth ride.;750;
390;Hex Nut 20;HN-5811;0;38;;;;Synthetic leather. Features gel for increased comfort.;750;
391;Hex Nut 21;HN-5818;0;38;;;;Designed to absorb shock.;750;
392;Hex Nut 3;HN-6320;0;38;;;;Anatomic design for a full-day of riding in comfort. Durable leather.;750;
393;Hex Nut 14;HN-7161;0;38;;;;Lightweight foam-padded saddle.;750;
394;Hex Nut 15;HN-7162;0;38;;;;Rubber bumpers absorb bumps.;750;
395;Hex Nut 4;HN-8320;0;38;;;;Lightweight kevlar racing saddle. Leather.;750;
396;Hex Nut 18;HN-9161;0;38;;;;Comfortable. ergonomically shaped gel saddle.;750;
397;Hex Nut 19;HN-9168;0;38;;;;New design relieves pressure for long rides.;750;
398;Handlebar Tube;HT-2981;0;38;;;;Cut-out shell for a more comfortable ride.;600;
399;Head Tube;HT-8019;0;38;;;;Comparible traction. less expensive wire bead casing.;600;
400;LL Hub;HU-6280;0;38;;;;Great traction. high-density rubber.;375;
401;HL Hub;HU-8998;0;38;;;;Incredible traction. lightweight carbon reinforced.;375;
402;Keyed Washer;KW-4091;0;38;;;;Same great treads as more expensive tire with a less expensive wire bead casing.;750;
403;External Lock Washer 3;LE-1000;0;38;;;;Higher density rubber.;750;
404;External Lock Washer 4;LE-1200;0;38;;;;Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.;750;
405;External Lock Washer 9;LE-1201;0;38;;;;High-density rubber.;750;
406;External Lock Washer 5;LE-1400;0;38;;;;Self-sealing tube.;750;
407;External Lock Washer 7;LE-3800;0;38;;;;Conventional all-purpose tube.;750;
408;External Lock Washer 6;LE-5160;0;38;;;;General purpose tube.;750;
409;External Lock Washer 1;LE-6000;0;38;;;;The LL Frame provides a safe comfortable ride. while offering superior bump absorption in a value-priced aluminum frame.;750;
410;External Lock Washer 8;LE-7160;0;38;;;;Made from the same aluminum alloy as our top-of-the line HL frame. the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;750;
411;External Lock Washer 2;LE-8000;0;38;;;;Our lightest and best quality aluminum frame made from the newest alloy. it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.;750;
412;Internal Lock Washer 3;LI-1000;0;38;;;;Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.;750;
413;Internal Lock Washer 4;LI-1200;0;38;;;;The HL aluminum frame is custom-shaped for both good looks and strength. it will withstand the most rigorous challenges of daily riding. Men's version.;750;
414;Internal Lock Washer 9;LI-1201;0;38;;;;Affordable light for safe night riding - uses 3 AAA batteries;750;
415;Internal Lock Washer 5;LI-1400;0;38;;;;Aluminum cage is lighter than our mountain version. perfect for long distance trips.;750;
416;Internal Lock Washer 7;LI-3800;0;38;;;;AWC logo water bottle - holds 30 oz. leak-proof.;750;
417;Internal Lock Washer 6;LI-5160;0;38;;;;Carries 4 bikes securely. steel construction. fits 2 receiver hitch.;750;
418;Internal Lock Washer 10;LI-5800;0;38;;;;Clip-on fenders fit most mountain bikes.;750;
419;Internal Lock Washer 1;LI-6000;0;38;;;;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;750;
420;Internal Lock Washer 8;LI-7160;0;38;;;;Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.;750;
421;Internal Lock Washer 2;LI-8000;0;38;;;;Designed for the AWC team with stay-put straps. moisture-control. chamois padding. and leg grippers.;750;
422;Thin-Jam Lock Nut 9;LJ-1213;0;38;;;;Durable. water-proof nylon construction with easy access. Large enough for weekend trips.;750;
423;Thin-Jam Lock Nut 10;LJ-1220;0;38;;;;Full padding. improved finger flex. durable palm. adjustable closure.;750;
424;Thin-Jam Lock Nut 1;LJ-1420;0;38;;;;Synthetic palm. flexible knuckles. breathable mesh upper. Worn by the AWC team riders.;750;
425;Thin-Jam Lock Nut 2;LJ-1428;0;38;;;;Heavy duty. abrasion-resistant shorts feature seamless. lycra inner shorts with anti-bacterial chamois for comfort.;750;
426;Thin-Jam Lock Nut 15;LJ-3410;0;38;;;;Includes 8 different size patches. glue and sandpaper.;750;
427;Thin-Jam Lock Nut 16;LJ-3416;0;38;;;;Light-weight. wind-resistant. packs to fit into a pocket.;750;
428;Thin-Jam Lock Nut 5;LJ-3816;0;38;;;;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;750;
429;Thin-Jam Lock Nut 6;LJ-3824;0;38;;;;Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.;750;
430;Thin-Jam Lock Nut 3;LJ-5161;0;38;;;;Rechargeable dual-beam headlight.;750;
431;Thin-Jam Lock Nut 4;LJ-5162;0;38;;;;Rugged weatherproof headlight.;750;
432;Thin-Jam Lock Nut 13;LJ-5811;0;38;;;;Short sleeve classic breathable jersey with superior moisture control. front zipper. and 3 back pockets.;750;
433;Thin-Jam Lock Nut 14;LJ-5818;0;38;;;;Simple and light-weight. Emergency patches stored in handle.;750;
434;Thin-Jam Lock Nut 7;LJ-7161;0;38;;;;Thin. lightweight and durable with cuffs that stay up.;750;
435;Thin-Jam Lock Nut 8;LJ-7162;0;38;;;;Tough aluminum cage holds bottle securly on tough terrain.;750;
436;Thin-Jam Lock Nut 12;LJ-9080;0;38;;;;Traditional style with a flip-up brim. one-size fits all.;750;
437;Thin-Jam Lock Nut 11;LJ-9161;0;38;;;;Unisex long-sleeve AWC logo microfiber cycling jersey;750;
438;Lock Nut 5;LN-1024;0;38;;;;Universal fit. well-vented. lightweight . snap-on visor.;750;
439;Lock Nut 6;LN-1032;0;38;;;;Versatile 70 oz hydration pack offers extra storage. easy-fill access. and a waist belt.;750;
440;Lock Nut 16;LN-1213;0;38;;;;Warm spandex tights for winter riding. seamless chamois construction eliminates pressure points.;750;
441;Lock Nut 17;LN-1220;0;38;;;;Washes off the toughest road grime. dissolves grease. environmentally safe. 1-liter bottle.;750;
442;Lock Nut 7;LN-1224;0;38;;;;Wraps to fit front and rear tires. carrier and 2 keys included.;750;
443;Lock Nut 8;LN-1420;0;38;;;;;750;
444;Lock Nut 9;LN-1428;0;38;;;;;750;
445;Lock Nut 22;LN-3410;0;38;;;;;750;
446;Lock Nut 23;LN-3416;0;38;;;;;750;
447;Lock Nut 12;LN-3816;0;38;;;;;750;
448;Lock Nut 13;LN-3824;0;38;;;;;750;
449;Lock Nut 1;LN-4400;0;38;;;;;750;
450;Lock Nut 10;LN-5161;0;38;;;;;750;
451;Lock Nut 11;LN-5162;0;38;;;;;750;
452;Lock Nut 2;LN-5400;0;38;;;;;750;
453;Lock Nut 20;LN-5811;0;38;;;;;750;
454;Lock Nut 21;LN-5818;0;38;;;;;750;
455;Lock Nut 3;LN-6320;0;38;;;;;750;
456;Lock Nut 14;LN-7161;0;38;;;;;750;
457;Lock Nut 15;LN-7162;0;38;;;;;750;
458;Lock Nut 4;LN-8320;0;38;;;;;750;
459;Lock Nut 19;LN-9080;0;38;;;;;750;
460;Lock Nut 18;LN-9161;0;38;;;;;750;
461;Lock Ring;LR-2398;0;38;Silver;;;;750;
462;Lower Head Race;LR-8520;0;38;;;;;750;
463;Lock Washer 4;LW-1000;0;38;;;;;750;
464;Lock Washer 5;LW-1200;0;38;;;;;750;
465;Lock Washer 10;LW-1201;0;38;;;;;750;
466;Lock Washer 6;LW-1400;0;38;;;;;750;
467;Lock Washer 13;LW-3400;0;38;;;;;750;
468;Lock Washer 8;LW-3800;0;38;;;;;750;
469;Lock Washer 1;LW-4000;0;38;;;;;750;
470;Lock Washer 7;LW-5160;0;38;;;;;750;
471;Lock Washer 12;LW-5800;0;38;;;;;750;
472;Lock Washer 2;LW-6000;0;38;;;;;750;
473;Lock Washer 9;LW-7160;0;38;;;;;750;
474;Lock Washer 3;LW-8000;0;38;;;;;750;
475;Lock Washer 11;LW-9160;0;38;;;;;750;
476;Metal Angle;MA-7075;0;38;;;;;750;
477;Metal Bar 1;MB-2024;0;38;;;;;750;
478;Metal Bar 2;MB-6061;0;38;;;;;750;
479;Metal Plate 2;MP-2066;0;38;;;;;750;
480;Metal Plate 1;MP-2503;0;38;;;;;750;
481;Metal Plate 3;MP-4960;0;38;;;;;750;
482;Metal Sheet 2;MS-0253;0;38;;;;;750;
483;Metal Sheet 3;MS-1256;0;38;;;;;750;
484;Metal Sheet 7;MS-1981;0;38;;;;;750;
485;Metal Sheet 4;MS-2259;0;38;;;;;750;
486;Metal Sheet 5;MS-2341;0;38;;;;;750;
487;Metal Sheet 6;MS-2348;0;38;;;;;750;
488;Metal Sheet 1;MS-6061;0;38;;;;;750;
489;Metal Tread Plate;MT-1000;0;38;;;;;750;
490;LL Nipple;NI-4127;0;38;;;;;750;
491;HL Nipple;NI-9522;0;38;;;;;750;
492;Paint - Black;PA-187B;0;38;;;;;45;
493;Paint - Red;PA-361R;0;38;;;;;45;
494;Paint - Silver;PA-529S;0;38;;;;;45;
495;Paint - Blue;PA-632U;0;38;;;;;45;
496;Paint - Yellow;PA-823Y;0;38;;;;;45;
497;Pinch Bolt;PB-6109;0;38;;;;;750;
504;Cup-Shaped Race;RA-2345;0;38;;;;;750;
505;Cone-Shaped Race;RA-7490;0;38;;;;;750;
506;Reflector;RF-9198;0;38;;;;;750;
507;LL Mountain Rim;RM-M464;0;38;;;435;;600;
508;ML Mountain Rim;RM-M692;0;38;;;450;;600;
509;HL Mountain Rim;RM-M823;0;38;;;400;;600;
510;LL Road Rim;RM-R436;0;38;;;445;;600;
511;ML Road Rim;RM-R600;0;38;;;450;;600;
512;HL Road Rim;RM-R800;0;38;;;400;;600;
513;Touring Rim;RM-T801;0;38;;;460;;600;
514;LL Mountain Seat Assembly;SA-M198;133.34;38;;;;;375;
515;ML Mountain Seat Assembly;SA-M237;147.14;38;;;;;375;
516;HL Mountain Seat Assembly;SA-M687;196.92;38;;;;;375;
517;LL Road Seat Assembly;SA-R127;133.34;38;;;;;375;
518;ML Road Seat Assembly;SA-R430;147.14;38;;;;;375;
519;HL Road Seat Assembly;SA-R522;196.92;38;;;;;375;
520;LL Touring Seat Assembly;SA-T467;133.34;38;;;;;375;
521;ML Touring Seat Assembly;SA-T612;147.14;38;;;;;375;
522;HL Touring Seat Assembly;SA-T872;196.92;38;;;;;375;
523;LL Spindle/Axle;SD-2342;0;38;;;;;375;
524;HL Spindle/Axle;SD-9872;0;38;;;;;375;
525;LL Shell;SH-4562;0;38;;;;;600;
526;HL Shell;SH-9312;0;38;;;;;600;
527;Spokes;SK-9283;0;38;;;;;750;
528;Seat Lug;SL-0931;0;38;;;;;750;
529;Stem;SM-9087;0;38;;;;;375;
530;Seat Post;SP-2981;0;38;;;;;375;
531;Steerer;SR-2098;0;38;;;;;375;
532;Seat Stays;SS-2985;0;38;;;;;600;
533;Seat Tube;ST-9828;0;38;;;;;375;
534;Top Tube;TO-2301;0;38;;;;;375;
535;Tension Pulley;TP-0923;0;38;;;;;600;
679;Rear Derailleur Cage;RC-0291;0;38;Silver;;;;375;
680;HL Road Frame - Black. 58;FR-R92B-58;1431.5;14;Black;58;2.24;;375;6
706;HL Road Frame - Red. 58;FR-R92R-58;1431.5;14;Red;58;2.24;;375;6
707;Sport-100 Helmet. Red;HL-U509-R;34.99;31;Red;;;;3;33
708;Sport-100 Helmet. Black;HL-U509;34.99;31;Black;;;;3;33
709;Mountain Bike Socks. M;SO-B909-M;9.5;23;White;M;;;3;18
710;Mountain Bike Socks. L;SO-B909-L;9.5;23;White;L;;;3;18
711;Sport-100 Helmet. Blue;HL-U509-B;34.99;31;Blue;;;;3;33
712;AWC Logo Cap;CA-1098;8.99;19;Multi;;;;3;2
713;Long-Sleeve Logo Jersey. S;LJ-0192-S;49.99;21;Multi;S;;;3;11
714;Long-Sleeve Logo Jersey. M;LJ-0192-M;49.99;21;Multi;M;;;3;11
715;Long-Sleeve Logo Jersey. L;LJ-0192-L;49.99;21;Multi;L;;;3;11
716;Long-Sleeve Logo Jersey. XL;LJ-0192-X;49.99;21;Multi;XL;;;3;11
717;HL Road Frame - Red. 62;FR-R92R-62;1431.5;14;Red;62;2.3;;375;6
718;HL Road Frame - Red. 44;FR-R92R-44;1431.5;14;Red;44;2.12;;375;6
719;HL Road Frame - Red. 48;FR-R92R-48;1431.5;14;Red;48;2.16;;375;6
720;HL Road Frame - Red. 52;FR-R92R-52;1431.5;14;Red;52;2.2;;375;6
721;HL Road Frame - Red. 56;FR-R92R-56;1431.5;14;Red;56;2.24;;375;6
722;LL Road Frame - Black. 58;FR-R38B-58;337.22;14;Black;58;2.46;;375;9
723;LL Road Frame - Black. 60;FR-R38B-60;337.22;14;Black;60;2.48;;375;9
724;LL Road Frame - Black. 62;FR-R38B-62;337.22;14;Black;62;2.5;;375;9
725;LL Road Frame - Red. 44;FR-R38R-44;337.22;14;Red;44;2.32;;375;9
726;LL Road Frame - Red. 48;FR-R38R-48;337.22;14;Red;48;2.36;;375;9
727;LL Road Frame - Red. 52;FR-R38R-52;337.22;14;Red;52;2.4;;375;9
728;LL Road Frame - Red. 58;FR-R38R-58;337.22;14;Red;58;2.46;;375;9
729;LL Road Frame - Red. 60;FR-R38R-60;337.22;14;Red;60;2.48;;375;9
730;LL Road Frame - Red. 62;FR-R38R-62;337.22;14;Red;62;2.5;;375;9
731;ML Road Frame - Red. 44;FR-R72R-44;594.83;14;Red;44;2.22;;375;16
732;ML Road Frame - Red. 48;FR-R72R-48;594.83;14;Red;48;2.26;;375;16
733;ML Road Frame - Red. 52;FR-R72R-52;594.83;14;Red;52;2.3;;375;16
734;ML Road Frame - Red. 58;FR-R72R-58;594.83;14;Red;58;2.36;;375;16
735;ML Road Frame - Red. 60;FR-R72R-60;594.83;14;Red;60;2.38;;375;16
736;LL Road Frame - Black. 44;FR-R38B-44;337.22;14;Black;44;2.32;;375;9
737;LL Road Frame - Black. 48;FR-R38B-48;337.22;14;Black;48;2.36;;375;9
738;LL Road Frame - Black. 52;FR-R38B-52;337.22;14;Black;52;2.4;;375;9
739;HL Mountain Frame - Silver. 42;FR-M94S-42;1364.5;12;Silver;42;2.72;Acier chromé.;375;5
740;HL Mountain Frame - Silver. 44;FR-M94S-44;1364.5;12;Silver;44;2.76;Cuvettes en alliage d'aluminium . axe de grand diamètre.;375;5
741;HL Mountain Frame - Silver. 48;FR-M94S-52;1364.5;12;Silver;48;2.8;Cuvettes en alliage d'aluminium et axe creux.;375;5
742;HL Mountain Frame - Silver. 46;FR-M94S-46;1364.5;12;Silver;46;2.84;Adapté à tous les usages. sur route ou tout-terrain. Pour toutes les bourses. Changement de braquet en douceur et conduite confortable.;375;5
743;HL Mountain Frame - Black. 42;FR-M94B-42;1349.6;12;Black;42;2.72;Ce vélo offre un excellent rapport qualité-prix. Vif et facile à manœuvrer. il se conduit en toute tranquillité sur les chemins et les sentiers.;375;5
744;HL Mountain Frame - Black. 44;FR-M94B-44;1349.6;12;Black;44;2.76;Pour les véritables passionnés du VTT. Un vélo extrêmement robuste qui vous permettra d'aller partout. même sur les terrains difficiles. pour un budget raisonnable.;375;5
745;HL Mountain Frame - Black. 48;FR-M94B-48;1349.6;12;Black;48;2.8;Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.;375;5
746;HL Mountain Frame - Black. 46;FR-M94B-46;1349.6;12;Black;46;2.84;VTT de compétition haut de gamme. Plusieurs options d'amélioration des performances : cadre HL. suspension avant particulièrement souple et traction adaptée à tous les terrains.;375;5
747;HL Mountain Frame - Black. 38;FR-M94B-38;1349.6;12;Black;38;2.68;Adapté à tous les terrains. Pour toutes les bourses.;375;5
748;HL Mountain Frame - Silver. 38;FR-M94S-38;1364.5;12;Silver;38;2.68;Vélo d'adulte d'entrée de gamme . permet une conduite confortable en ville ou sur les chemins de campagne. Moyeux et rayons à blocage rapide.;375;5
749;Road-150 Red. 62;BK-R93R-62;3578.27;2;Red;62;15;Vélo très séduisant comportant de nombreuses caractéristiques des modèles haut de gamme. Bénéficie du cadre léger et rigide. mais aussi de la ligne performante qui ont fait notre réputation.;75;25
750;Road-150 Red. 44;BK-R93R-44;3578.27;2;Red;44;13.77;Équipé de la même technologie que tous nos vélos de route. avec un cadre femmes. Idéal pour la promenade ou la course sur route.;75;25
751;Road-150 Red. 48;BK-R93R-48;3578.27;2;Red;48;14.13;Équipé de la même technologie que tous nos vélos de route. Idéal pour la promenade ou la course sur route.;75;25
752;Road-150 Red. 52;BK-R93R-52;3578.27;2;Red;52;14.42;Un véritable vélo multi-sports. qui offre une conduite optimisée et une ligne révolutionnaire. Sa ligne aérodynamique vous permet de l'utiliser en course et ses vitesses de gravir les cols.;75;25
753;Road-150 Red. 56;BK-R93R-56;3578.27;2;Red;56;14.68;VTT. course ou promenade entre amis sur un vélo aérodynamique et léger. Bénéficie d'un système de selle perfectionné qui offre un confort optimal.;75;25
754;Road-450 Red. 58;BK-R68R-58;1457.99;2;Red;58;17.79;Tout terrain. course ou promenade entre amis sur un vélo aérodynamique et léger (cadre femmes). Bénéficie d'un système de selle perfectionné qui offre un confort optimal.;75;28
755;Road-450 Red. 60;BK-R68R-60;1457.99;2;Red;60;17.9;Cadre en alliage d'aluminium qui offre une conduite légère et rapide. sur pistes ou sur routes de campagne.;75;28
756;Road-450 Red. 44;BK-R68R-44;1457.99;2;Red;44;16.77;Ce vélo est destiné aux champions cyclistes. Mis au point par une équipe cycliste professionnelle. ce vélo possède un cadre en aluminium traité à chaud extrêmement léger et un guidon qui permet une conduite très précise.;75;28
